2026-04-15 16:01:30 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:06:16 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:06:50 | DEV  | AI_REVIEW   | Open AI                                 | suggested | OpenAI ChatGPT Enterprise — Neither candidate matches — both are unrelated; OpenAI/ChatGPT Enterprise has an OIN SAML app in the Okta catalog, but the exact key should be verified before provisioning.
2026-04-15 16:11:14 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:11:33 | DEV  | AI_REVIEW   | Open AI                                 | suggested | ChatGPT — Neither candidate matches OpenAI; the correct OIN app is 'ChatGPT' (Okta key: chatgpt) — verify in catalog as Okta lists it under that name, not 'OpenAI'.
2026-04-15 16:28:41 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=24 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:29:21 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | suggested | OpenAI ChatGPT — Okta OIN has a verified OpenAI ChatGPT SAML app; no gov-specific variant exists but the standard OIN app covers enterprise/federal use.
2026-04-15 16:38:09 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=24 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:38:31 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | suggested | ChatGPT — OpenAI publishes a verified OIN app for ChatGPT enterprise SSO; no government-specific variant exists so the standard listing applies.
2026-04-15 16:45:26 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=2 no_match=24 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:47:58 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:49:32 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | confirmed | OpenAI — Single verified OIN match with exact name alignment; no government-specific variant exists for ChatGPT/OpenAI.
2026-04-15 16:50:01 | DEV  | CONVERT     | OpenAI - ChatGPT                        | FAILED    | 'signOn'
2026-04-15 16:51:00 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:58:11 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 16:58:26 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | confirmed | OpenAI — Single verified exact-match OIN candidate with no government-specific variant needed for ChatGPT.
2026-04-15 16:58:44 | DEV  | CONVERT     | OpenAI - ChatGPT                        | FAILED    | 'signOn' — File "/Users/WG81791/Projects/wes-tools/OKTA/Okta Admin/okta_client.py", line 277, in copy_saml_config
2026-04-15 16:59:57 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 17:00:14 | DEV  | AI_REVIEW   | OpenAI - ChatGPT                        | confirmed | OpenAI — Single verified OIN match with exact name alignment; no government-specific variant exists for ChatGPT/OpenAI.
2026-04-15 17:00:25 | DEV  | CONVERT     | OpenAI - ChatGPT                        | FAILED    | 400 Client Error: Bad Request for url: https://dev-your-org.okta.com/api/v1/apps/0oaEXAMPLE00EXAMPLE0 — File "/Users/WG81791/Projects/wes-tools/OKTA/OIN Migration/.venv/lib/python3.12/site-packages/requests/models.py", line 1028, in raise_for_status
2026-04-15 17:05:16 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
2026-04-15 17:06:21 | DEV  | SCAN        | 43 SAML apps                            | ok        | candidates=3 no_match=23 already_oin=9 inactive=3 legacy=1 replaced=4
